 ,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,StdDev7,StdDev8,StdDev9,StdDev10,StdDev11,StdDev12,StdDev13,StdDev14,StdDev15,StdDev16,StdDev17,StdDev18,StdDev19,StdDev20,StdDev21,StdDev22,StdDev23,StdDev24,StdDev25,StdDev26,StdDev27,StdDev28,StdDev29,StdDev30,StdDev31,StdDev32,StdDev33,StdDev34,StdDev35,StdDev36,StdDev37,StdDev38,StdDev39,StdDev40,StdDev41,StdDev42,StdDev43,StdDev44,StdDev45,StdDev46,StdDev47,StdDev48,StdDev49,StdDev50,StdDev51,StdDev52,StdDev53,StdDev54,StdDev55,StdDev56,StdDev57,StdDev58,StdDev59,StdDev60,StdDev61,StdDev62,StdDev63,StdDev64,StdDev65,StdDev66,StdDev67,StdDev68,StdDev69,StdDev70,StdDev71,StdDev72,StdDev73,StdDev74,StdDev75,StdDev76,StdDev77,StdDev78,StdDev79,StdDev80,StdDev81,StdDev82,StdDev83,StdDev84,StdDev85,StdDev86,StdDev87,StdDev88,StdDev89,StdDev90,StdDev91,StdDev92,StdDev93,StdDev94,StdDev95,StdDev96,StdDev97,StdDev98,StdDev99,StdDev100,StdDev101,StdDev102,StdDev103,StdDev104,StdDev105,StdDev106,StdDev107,StdDev108,StdDev109,StdDev110,StdDev111,StdDev112,StdDev113,StdDev114,StdDev115,StdDev116,StdDev117,StdDev118,StdDev119,StdDev120,StdDev121,StdDev122,StdDev123,StdDev124,StdDev125,StdDev126,StdDev127,StdDev128,StdDev129,StdDev130,StdDev131,StdDev132,StdDev133,StdDev134,StdDev135,StdDev136
1,1997.804,1274.838,2129.686,1847.049,1512.183,1852.371,1314.746,1754.225,2358.862,1185.554,1878.364,1290.865,1571.687,1798.456,2098.062,1715.717,1683.752,1780.269,1352.698,2204.110,1591.870,1868.473,2072.988,1819.401,1798.864,2382.694,1885.276,1422.570,1249.808,1398.979,1736.593,1774.439,2196.822,2211.014,2203.793,2010.637,1494.381,1731.016,1449.519,1297.996,1347.982,1544.343,1395.801,1195.270,2098.781,1828.385,1973.571,2062.572,1956.433,1468.929,1646.598,1926.062,1880.425,2178.226,1622.832,2186.297,1948.160,1932.147,1700.814,1664.604,1487.998,1410.784,1391.296,1511.772,1520.638,1288.934,2448.756,1945.630,1527.535,1556.242,1608.179,1333.314,2373.837,2042.147,1429.188,1561.029,1288.667,2155.396,1595.987,1242.968,1879.507,1857.160,1523.102,2240.204,1528.893,2065.251,2377.462,1274.077,2146.638,2005.101,1495.312,1999.390,1581.452,1440.969,2084.427,2053.039,1490.930,1675.393,2369.160,2187.571,1508.243,1788.710,1586.689,2234.288,1455.658,1738.054,1811.052,1314.010,1457.692,1802.564,1189.765,1919.899,1319.338,1425.471,1881.389,1298.313,1660.639,1317.202,2071.333,2115.595,1846.552,1359.377,1389.421,1379.320,1433.856,1539.795,1770.756,1565.726,1711.793,1330.182,1943.041,1379.530,1578.780,1485.294,1330.362,1462.130
2,2030.321,1271.955,2142.387,1837.443,1496.948,1856.873,1310.670,1722.683,2368.271,1180.371,1861.408,1302.503,1559.718,1799.780,2096.965,1699.839,1674.827,1783.023,1361.308,2230.884,1573.277,1874.002,2057.918,1823.653,1781.978,2381.743,1879.579,1468.017,1245.885,1399.382,1733.392,1785.449,2185.725,2189.340,2229.100,2017.741,1480.708,1716.451,1456.724,1311.651,1359.407,1570.530,1420.088,1202.754,2101.698,1827.553,1974.606,2067.022,1943.796,1472.664,1660.828,1914.100,1889.256,2176.027,1614.323,2213.740,1951.108,1923.029,1700.190,1668.791,1507.651,1408.123,1400.759,1505.218,1514.593,1298.594,2434.300,1922.972,1507.438,1544.387,1624.158,1338.887,2384.387,2046.833,1432.764,1575.294,1280.173,2171.410,1600.041,1227.544,1899.437,1867.130,1514.741,2249.661,1539.445,2062.809,2386.542,1251.443,2148.991,2018.642,1513.497,2005.020,1588.945,1441.137,2071.279,2045.865,1501.237,1645.399,2377.446,2194.705,1504.624,1816.032,1586.124,2234.231,1443.518,1730.914,1833.816,1321.423,1467.729,1810.047,1181.059,1909.133,1325.324,1420.247,1889.358,1307.039,1666.323,1315.667,2066.261,2108.590,1852.001,1351.248,1388.130,1402.917,1439.046,1546.132,1781.825,1563.680,1727.239,1332.833,1947.394,1392.340,1578.609,1480.457,1315.555,1456.510
3,2010.188,1276.319,2139.419,1842.738,1517.857,1853.199,1302.007,1742.168,2361.065,1179.784,1874.236,1288.453,1563.146,1804.795,2091.681,1703.799,1666.177,1769.179,1344.349,2209.389,1573.167,1875.967,2059.033,1806.764,1785.487,2368.390,1899.888,1438.999,1239.805,1382.852,1750.678,1763.147,2216.359,2201.844,2221.770,2012.472,1498.149,1718.706,1471.384,1298.826,1349.234,1553.938,1405.682,1210.442,2098.622,1834.267,1973.186,2072.388,1964.296,1476.760,1653.093,1913.359,1921.143,2172.214,1624.916,2197.703,1959.805,1920.857,1701.263,1656.455,1503.299,1407.147,1390.818,1500.035,1510.777,1291.014,2431.607,1938.868,1510.886,1554.266,1628.620,1337.572,2397.691,2053.720,1434.719,1567.320,1291.728,2173.553,1594.686,1243.814,1875.097,1885.139,1525.821,2253.661,1527.602,2063.046,2393.257,1260.294,2140.962,2006.663,1507.118,2003.581,1572.313,1442.864,2066.982,2052.670,1485.572,1677.941,2367.815,2193.948,1530.133,1795.227,1577.556,2217.698,1439.949,1745.118,1806.391,1317.055,1445.137,1812.350,1209.219,1904.484,1339.991,1418.349,1899.923,1295.973,1644.811,1313.072,2081.571,2115.477,1864.534,1374.237,1374.965,1405.536,1444.697,1563.938,1771.468,1574.557,1720.977,1308.979,1943.824,1391.680,1597.358,1466.871,1315.567,1468.460
4,2027.432,1263.891,2133.389,1838.615,1510.655,1871.368,1316.807,1743.125,2368.754,1179.636,1876.095,1297.852,1570.253,1812.111,2081.237,1710.634,1677.616,1793.697,1349.370,2224.880,1579.660,1871.625,2046.301,1832.943,1787.565,2365.508,1900.312,1461.748,1237.336,1390.275,1741.058,1773.350,2202.934,2188.269,2206.573,2015.056,1471.751,1707.090,1456.626,1289.441,1353.548,1561.678,1396.816,1216.309,2106.622,1818.721,1991.083,2063.872,1956.718,1488.811,1669.434,1919.742,1902.190,2178.250,1643.284,2205.934,1949.044,1918.857,1685.379,1667.023,1485.996,1408.666,1379.523,1497.655,1510.565,1277.486,2424.408,1947.872,1523.222,1556.047,1617.896,1344.878,2373.988,2039.292,1448.327,1555.422,1277.332,2157.959,1589.486,1223.492,1881.653,1885.613,1516.426,2255.568,1539.190,2070.790,2378.623,1270.098,2152.638,2004.540,1515.175,2000.283,1577.290,1424.832,2064.462,2050.135,1470.619,1660.218,2372.698,2195.302,1510.605,1790.546,1589.489,2211.425,1439.837,1733.006,1803.052,1322.963,1447.141,1814.586,1178.878,1909.713,1333.606,1414.191,1889.487,1293.411,1670.412,1305.222,2061.147,2108.169,1862.362,1370.817,1375.050,1389.719,1436.150,1534.685,1753.649,1558.118,1711.278,1324.548,1946.868,1384.682,1572.193,1465.141,1309.954,1460.911
5,2024.160,1281.505,2140.752,1843.994,1511.432,1868.882,1320.979,1743.912,2376.883,1180.975,1873.300,1305.231,1577.660,1813.737,2093.479,1700.552,1669.589,1765.439,1358.210,2224.904,1586.745,1877.077,2049.964,1812.219,1786.945,2384.264,1899.598,1449.481,1224.763,1400.558,1733.286,1770.393,2188.538,2194.805,2202.740,2024.283,1487.950,1719.107,1454.820,1291.363,1348.068,1552.714,1415.468,1200.417,2102.505,1834.274,1979.864,2068.417,1962.117,1476.445,1640.122,1936.982,1902.809,2168.846,1611.675,2193.558,1966.519,1906.653,1716.618,1675.588,1504.261,1395.027,1394.109,1494.200,1511.112,1293.706,2435.664,1941.082,1536.362,1534.263,1615.969,1339.551,2373.090,2044.584,1431.481,1563.142,1275.600,2155.863,1580.187,1234.411,1878.712,1870.560,1506.635,2239.990,1528.566,2062.234,2376.983,1265.779,2142.294,2013.410,1511.585,2012.083,1574.250,1429.844,2056.739,2042.859,1499.906,1659.548,2374.439,2192.070,1512.849,1786.865,1565.330,2228.085,1433.096,1725.234,1814.005,1321.181,1448.992,1810.493,1199.285,1913.511,1334.083,1409.954,1902.146,1310.610,1652.188,1311.988,2076.777,2120.500,1865.157,1368.420,1383.543,1394.023,1434.112,1551.004,1769.795,1569.731,1712.652,1333.700,1947.281,1388.216,1575.836,1471.434,1319.726,1469.339
6,2012.801,1265.447,2138.469,1842.699,1522.481,1863.470,1308.717,1730.438,2387.490,1203.038,1867.581,1293.301,1572.686,1797.747,2091.447,1709.494,1668.471,1792.883,1345.584,2228.848,1598.556,1859.025,2054.347,1822.037,1768.024,2374.748,1898.324,1435.101,1232.976,1387.992,1743.485,1771.183,2193.637,2197.000,2201.550,2017.298,1485.585,1701.912,1454.807,1310.250,1371.617,1580.805,1422.605,1192.105,2106.692,1833.444,1972.818,2063.165,1952.608,1470.872,1666.761,1924.000,1893.686,2152.566,1611.953,2194.545,1961.097,1907.592,1691.200,1656.079,1488.044,1422.518,1378.278,1496.080,1515.850,1294.737,2433.045,1939.636,1520.095,1533.129,1618.349,1333.670,2381.917,2037.938,1433.371,1553.512,1278.467,2151.045,1604.974,1253.097,1868.785,1875.438,1515.882,2253.338,1529.267,2047.256,2381.077,1272.005,2145.579,2018.593,1499.246,1998.253,1569.878,1435.657,2067.988,2062.028,1480.980,1679.069,2376.854,2201.839,1513.443,1794.826,1584.244,2210.608,1417.961,1731.057,1824.511,1320.381,1443.583,1808.840,1201.002,1914.378,1319.866,1438.401,1878.650,1301.575,1662.396,1325.123,2076.916,2122.229,1867.331,1377.213,1367.595,1376.733,1440.747,1550.300,1765.219,1581.376,1700.437,1333.031,1953.312,1380.528,1569.974,1461.815,1316.121,1465.640
7,2006.626,1279.309,2147.210,1840.146,1524.556,1879.041,1313.747,1736.435,2375.995,1197.010,1860.565,1295.635,1564.414,1803.457,2070.035,1704.363,1679.820,1777.900,1353.495,2228.672,1585.218,1870.512,2057.798,1826.643,1788.611,2380.165,1882.067,1441.776,1243.311,1399.688,1750.712,1763.435,2189.931,2196.083,2216.649,2013.722,1499.770,1699.365,1456.589,1303.560,1341.116,1559.820,1403.528,1199.271,2103.002,1824.195,1968.897,2059.976,1961.477,1464.193,1647.539,1914.537,1903.338,2175.406,1614.489,2205.527,1959.836,1925.730,1694.569,1667.348,1487.559,1412.730,1368.763,1491.841,1512.042,1296.699,2429.423,1937.472,1522.343,1547.915,1637.905,1344.206,2382.309,2034.337,1437.721,1549.701,1290.727,2161.943,1600.136,1256.839,1881.165,1878.033,1539.915,2259.376,1540.009,2063.876,2394.886,1260.332,2142.735,2022.071,1508.124,1997.755,1585.832,1448.578,2051.917,2038.701,1481.712,1661.324,2370.863,2201.752,1504.946,1793.152,1567.513,2212.196,1442.888,1732.140,1812.078,1305.195,1434.878,1806.643,1195.387,1914.086,1357.388,1419.985,1895.215,1306.061,1681.291,1324.363,2077.880,2122.611,1864.359,1355.446,1384.366,1401.743,1457.029,1549.316,1775.103,1563.706,1700.794,1339.091,1936.553,1396.068,1605.619,1455.366,1315.190,1426.780
8,2006.781,1253.168,2139.517,1849.084,1512.164,1868.120,1308.911,1723.349,2377.074,1189.088,1869.288,1304.198,1563.738,1812.044,2096.404,1712.711,1667.604,1791.437,1360.263,2214.292,1590.850,1871.080,2057.789,1818.473,1773.869,2374.765,1890.952,1438.547,1241.065,1411.870,1739.412,1765.905,2200.243,2198.020,2199.730,2000.444,1478.039,1697.397,1456.064,1284.430,1348.854,1576.028,1423.594,1207.019,2103.677,1833.069,1955.283,2074.858,1959.379,1480.694,1655.317,1910.629,1882.887,2158.944,1613.839,2194.621,1963.250,1919.588,1677.559,1661.682,1508.035,1407.129,1381.405,1490.662,1517.243,1282.372,2410.909,1955.115,1511.630,1556.449,1634.916,1331.337,2363.895,2051.878,1445.370,1558.511,1277.940,2160.018,1614.651,1229.650,1871.735,1861.035,1507.998,2252.264,1543.441,2053.673,2377.333,1252.056,2129.602,2013.199,1512.406,1996.368,1570.328,1433.621,2071.506,2043.711,1488.044,1669.851,2363.619,2188.199,1508.300,1796.613,1590.743,2227.222,1421.704,1729.626,1807.435,1308.438,1452.488,1809.990,1184.002,1919.661,1342.138,1430.504,1899.785,1298.668,1666.498,1308.343,2079.910,2112.874,1870.498,1370.305,1374.056,1379.723,1443.456,1532.049,1765.058,1580.164,1705.446,1333.758,1941.918,1376.635,1566.549,1450.540,1313.889,1452.321
9,2012.780,1268.930,2140.493,1844.142,1525.007,1859.779,1329.380,1736.456,2383.041,1189.806,1869.297,1299.301,1574.256,1809.478,2069.587,1686.658,1662.616,1778.586,1333.993,2209.450,1593.135,1872.586,2058.502,1808.615,1788.121,2365.604,1903.875,1431.266,1235.352,1394.677,1738.554,1775.169,2196.207,2208.170,2198.898,1991.808,1490.468,1717.811,1450.242,1317.591,1363.398,1565.738,1422.543,1205.689,2098.012,1814.900,1962.013,2063.717,1958.571,1479.412,1662.500,1918.764,1886.015,2158.112,1608.984,2222.157,1951.412,1922.431,1695.542,1647.797,1488.589,1409.716,1385.594,1497.282,1521.291,1292.418,2434.466,1938.934,1534.638,1540.062,1614.555,1336.084,2394.459,2046.527,1445.112,1570.684,1285.148,2155.607,1608.375,1229.791,1880.865,1876.976,1522.586,2265.989,1531.890,2062.280,2378.137,1274.343,2150.769,2010.550,1526.137,1996.979,1578.312,1446.480,2075.344,2067.913,1490.713,1665.950,2367.136,2195.261,1503.632,1781.626,1575.031,2225.455,1438.505,1722.882,1830.891,1298.396,1445.599,1810.392,1201.737,1903.212,1324.272,1415.160,1893.680,1302.322,1661.637,1324.889,2067.861,2111.627,1854.353,1367.842,1382.510,1400.636,1443.764,1563.208,1758.964,1569.459,1702.516,1334.250,1932.326,1404.760,1582.791,1479.326,1314.145,1451.630
10,2014.148,1259.581,2139.704,1875.937,1507.128,1848.210,1318.235,1737.827,2384.970,1180.323,1871.948,1285.657,1562.600,1796.623,2086.254,1698.486,1659.667,1784.516,1346.258,2223.411,1576.570,1864.219,2070.071,1816.692,1800.968,2368.112,1885.601,1447.614,1235.964,1401.870,1739.350,1755.909,2185.843,2213.836,2211.121,2005.440,1476.196,1700.476,1463.068,1304.520,1371.307,1555.606,1419.156,1203.554,2070.358,1822.361,1964.754,2068.654,1942.834,1489.166,1653.942,1929.755,1900.466,2161.156,1634.249,2212.743,1959.114,1928.068,1701.768,1658.724,1486.048,1409.732,1390.380,1501.560,1508.129,1292.613,2416.257,1934.345,1539.083,1545.252,1627.784,1338.750,2371.091,2045.520,1455.770,1567.022,1271.193,2168.224,1596.616,1226.023,1871.902,1878.050,1520.865,2248.933,1528.835,2066.122,2378.635,1257.526,2146.364,2012.373,1494.946,2006.584,1556.130,1432.089,2051.623,2043.484,1493.463,1661.341,2380.507,2188.385,1507.746,1785.241,1591.793,2225.123,1448.613,1734.448,1815.847,1312.488,1455.422,1812.619,1204.967,1930.677,1328.295,1412.410,1910.749,1314.257,1665.052,1323.569,2089.429,2115.417,1872.177,1362.930,1388.810,1406.611,1435.607,1539.490,1772.324,1561.996,1695.967,1318.818,1944.498,1382.725,1576.042,1475.345,1334.111,1449.131
