 ,XM,YM
1,2354.761,392.374
2,2426.446,391.228
3,2278.601,392.694
4,2504.918,393.597
5,2123.184,394.068
6,2202.903,396.840
7,1894.528,399.493
8,1970.627,398.626
9,2047.224,397.931
10,1656.997,400.879
11,1737.927,400.355
12,1814.870,399.788
13,1130.543,399.542
14,1306.786,402.193
15,1217.575,401.664
16,863.371,403.156
17,1041.362,401.525
18,1394.670,402.716
19,1483.684,403.243
20,1573.449,402.567
21,236.345,403.126
22,412.686,406.511
23,601.843,405.233
24,950.572,408.315
25,329.527,406.993
26,511.366,406.265
27,687.031,406.143
28,776.845,405.688
29,62.491,411.780
30,149.027,411.157
31,2544.457,869.793
32,2364.085,870.069
33,2422.037,870.036
34,2482.316,869.662
35,2243.838,871.533
36,2059.594,874.099
37,2121.019,873.617
38,2183.200,873.186
39,656.523,874.988
40,2002.366,874.520
41,507.529,876.025
42,1369.876,877.224
43,1569.803,875.518
44,110.717,879.200
45,350.158,877.472
46,430.131,876.893
47,1166.375,876.193
48,1233.997,879.073
49,1503.946,876.549
50,1631.691,876.999
51,1940.079,876.046
52,1098.093,878.264
53,1302.674,877.784
54,1696.130,877.737
55,1758.877,876.567
56,1820.307,879.031
57,1878.922,877.264
58,31.494,880.952
59,193.664,880.827
60,804.358,880.162
61,881.894,879.276
62,1439.216,879.562
63,271.068,881.192
64,1025.782,879.982
65,952.458,880.860
66,578.837,882.857
67,737.744,885.179
68,2377.240,1331.836
69,2503.178,1331.672
70,355.056,1336.493
71,2017.267,1338.433
72,2081.111,1340.865
73,2139.581,1339.216
74,2440.488,1338.227
75,2198.908,1339.683
76,2322.755,1338.525
77,1363.672,1341.106
78,1573.233,1339.705
79,1831.076,1341.585
80,448.956,1341.069
81,1223.124,1343.207
82,1295.173,1341.605
83,1435.471,1342.296
84,1504.953,1341.081
85,1642.260,1341.678
86,1706.206,1342.606
87,2260.291,1342.205
88,610.724,1343.556
89,1149.872,1342.613
90,1770.177,1343.827
91,1898.111,1343.797
92,1956.674,1343.002
93,528.751,1342.682
94,999.031,1344.774
95,193.382,1344.869
96,1074.500,1345.255
97,691.391,1347.008
98,103.327,1346.363
99,768.507,1348.394
100,843.806,1348.570
101,923.514,1348.525
102,280.406,1350.014
103,2415.529,1819.122
104,2477.288,1818.055
105,2543.297,1820.004
106,2286.350,1821.012
107,2351.358,1821.177
108,2161.504,1822.170
109,2224.767,1820.955
110,1406.972,1823.456
111,1480.397,1824.929
112,1699.109,1823.887
113,1553.621,1825.579
114,1627.825,1825.027
115,1764.231,1824.928
116,2095.358,1825.240
117,1177.655,1827.062
118,1896.667,1826.909
119,771.474,1826.739
120,1100.041,1826.573
121,1331.601,1827.281
122,1831.278,1827.203
123,1963.358,1825.532
124,2029.316,1826.237
125,436.938,1828.302
126,856.894,1829.749
127,938.702,1829.948
128,1253.588,1828.135
129,690.304,1829.272
130,1017.908,1828.697
131,521.384,1829.815
132,169.305,1831.450
133,78.291,1831.728
134,348.967,1831.690
135,609.856,1833.064
136,254.236,1832.684
