 ,XM,YM
1,132.000,165.000
2,398.691,167.646
3,710.866,173.221
4,63.018,174.018
5,198.000,174.000
6,662.570,174.793
7,326.432,176.490
8,583.235,177.587
9,263.945,179.572
10,453.941,178.361
11,519.310,179.441
12,1163.117,179.902
13,1033.335,183.669
14,966.924,184.602
15,778.886,186.135
16,903.818,186.241
17,841.297,191.295
18,1225.393,191.455
19,1555.634,190.740
20,1098.246,193.058
21,1293.233,193.052
22,1423.791,194.544
23,1682.734,196.325
24,1884.673,195.723
25,1486.645,195.422
26,1358.564,198.170
27,2017.431,199.001
28,1753.522,200.163
29,1619.789,200.321
30,1815.415,203.695
31,1952.895,204.105
32,2212.802,204.279
33,2148.555,209.425
34,2279.008,209.050
35,2081.492,210.987
36,2346.000,213.000
37,2481.000,213.000
38,2414.950,218.306
39,86.389,611.775
40,343.076,612.426
41,214.537,613.297
42,467.385,615.461
43,150.793,618.583
44,275.809,618.386
45,529.323,622.990
46,655.201,622.052
47,905.554,626.424
48,594.503,624.367
49,407.204,625.207
50,781.730,625.763
51,718.460,627.204
52,1418.886,631.397
53,1614.047,631.529
54,1161.384,631.382
55,1354.632,631.426
56,843.036,632.324
57,974.577,631.906
58,1805.351,636.738
59,1035.294,638.000
60,1481.770,639.892
61,1099.601,639.838
62,1552.339,641.543
63,2016.589,642.462
64,1871.573,645.337
65,1677.077,645.304
66,2267.879,648.425
67,1936.302,649.470
68,2069.862,652.142
69,2138.020,652.996
70,2469.711,652.115
71,1745.748,653.572
72,2204.372,655.220
73,2334.014,653.726
74,2402.719,654.137
75,85.622,1048.403
76,721.389,1048.270
77,213.873,1050.952
78,529.987,1051.177
79,641.190,1052.213
80,148.312,1053.476
81,280.610,1053.189
82,338.753,1053.478
83,408.608,1054.178
84,591.021,1052.685
85,468.823,1054.874
86,908.636,1058.590
87,841.433,1059.570
88,782.245,1060.715
89,970.386,1061.709
90,1034.411,1063.659
91,1620.707,1064.450
92,1227.561,1064.722
93,1100.383,1066.838
94,1816.453,1068.206
95,1293.057,1067.948
96,1484.398,1068.230
97,1686.417,1070.218
98,1168.400,1070.281
99,1419.059,1071.125
100,1749.095,1071.321
101,2147.009,1071.863
102,1358.452,1071.881
103,1881.911,1076.066
104,1558.226,1080.460
105,1950.776,1081.370
106,2011.310,1083.488
107,2072.599,1083.122
108,2347.788,1083.963
109,2481.555,1084.273
110,2210.253,1085.295
111,2280.683,1086.828
112,2543.706,1090.729
113,2416.333,1092.532
114,347.614,1446.459
115,170.300,1451.508
116,667.052,1454.226
117,474.705,1454.922
118,603.196,1455.822
119,100.266,1455.918
120,286.375,1455.856
121,414.629,1457.923
122,228.330,1458.374
123,729.603,1458.822
124,537.828,1459.672
125,977.289,1462.436
126,852.103,1464.484
127,917.183,1466.074
128,1816.186,1465.626
129,1044.551,1465.306
130,1752.307,1466.704
131,1168.093,1467.815
132,798.364,1468.267
133,1424.370,1469.161
134,2069.459,1470.979
135,1106.063,1470.126
136,1240.793,1471.742
137,1562.223,1472.556
138,1296.111,1473.527
139,1361.275,1473.517
140,1615.646,1475.543
141,1945.191,1474.783
142,1487.960,1477.463
143,1876.337,1477.441
144,1683.015,1480.060
145,2141.449,1484.835
146,2207.058,1485.521
147,2537.908,1488.219
148,2013.290,1488.760
149,2408.956,1488.817
150,2472.819,1489.710
151,2343.900,1491.736
152,2282.515,1494.112
153,32.723,1878.989
154,98.536,1889.547
155,409.914,1891.471
156,540.320,1896.668
157,603.557,1898.075
158,175.600,1896.158
159,350.320,1897.546
160,794.643,1899.756
161,665.258,1901.004
162,290.126,1900.296
163,227.741,1900.868
164,480.558,1905.263
165,728.370,1906.309
166,980.439,1908.173
167,1567.245,1909.623
168,921.579,1910.969
169,1109.871,1911.957
170,1237.015,1911.949
171,855.024,1913.646
172,1175.436,1915.149
173,1047.356,1915.647
174,1493.860,1918.409
175,1883.270,1917.949
176,1367.470,1918.739
177,1300.870,1920.145
178,1431.232,1923.208
179,1622.699,1922.230
180,1755.158,1925.340
181,2081.874,1926.051
182,1689.694,1926.558
183,1950.742,1926.911
184,1823.566,1928.157
185,2018.169,1933.389
186,2346.539,1933.679
187,2217.207,1934.668
188,2284.332,1934.427
189,2154.047,1936.028
190,2416.500,1939.500
191,2493.462,1939.418
192,1288.884,1068.171
